kvi_id,label,perception_role,include_re,exclude_re,category_re,prefer_own_brand,target_qty,target_unit,require_size,notes
milk_full_cream_2l,Full cream milk (2L),Staple fridge,"full cream milk","uht|long life|lactose|a2|organic|powder|condensed|evaporat|6\s*x|6x|200\s*ml|250\s*ml|yoghurt|yogurt",(?i)dairy|fridge,true,2,l,true,Core price perception SKU — compare near 2L only
milk_full_cream_1l,Full cream milk (1L),Staple fridge,"full cream milk","uht|long life|lactose|a2|organic|powder|condensed|2\s*l|2l|6\s*x|6x|yoghurt|yogurt",(?i)dairy|fridge,true,1,l,true,Fallback when 2L missing
eggs_free_range_12,Free range eggs 12pk,Staple fridge,"free\s*range.*(egg)|egg.*free\s*range","liquid|mayonnaise|quail|duck|cage",(?i)dairy|fridge|egg,true,12,pack,true,
bread_white_sandwich,White sandwich loaf,Staple bakery,"white sandwich (loaf|bread)|sandwich white (loaf|bread)|white toast loaf","gluten|sourdough|brioche|rolls|crumpet|muffin|high protein|croissant",(?i)bakery,true,,,false,Loaf size rarely labelled — shelf price OK when both are loaves
butter_salted_500g,Salted butter (~500g),Staple fridge,"\bbutter\b","peanut|almond|cashew|popcorn|chicken|biscuit|cookie|pastry|croissant|spread|ghee|cultured|garlic|soap|moistur|cream|sauce",(?i)dairy|fridge,true,500,g,true,
sugar_white_1kg,White sugar (1kg),Staple pantry,"\bsugar\b","icing|brown|raw|coconut|no\s*sugar|sugar.?free|yoghurt|yogurt|cola|soft drink|xylitol|stevia|sweetener|candy",(?i)pantry,true,1,kg,true,
bananas_loose,Bananas,Produce traffic,"^bananas?$|^cavendish bananas?$","bread|yoghurt|yogurt|chips|smoothie|pouch|milk|flavour|candy|lolly|drink|double fruit",(?i)fruit|veg|produce,false,,,false,Usually sold loose / per kg
mince_beef_regular,Beef mince (~500g),Protein staple,"beef (lean )?mince|mince beef","premium|organic|grass.?fed|sausage|turkey|chicken|pork|plant|lamb",(?i)meat|seafood|poultry|deli,true,500,g,false,Prefer ~500g when labelled; else unit price
chicken_breast_fillet,Chicken breast fillets,Protein staple,"chicken breast (fillet|skinless)|breast fillet.*chicken|rspca.*chicken breast","nugget|crumbed|schnitzel|tender|wing|thigh|stuffed",(?i)meat|seafood|poultry,true,,,false,Compare on unit price when pack weight differs
cheddar_block,Cheddar / tasty cheese block (~500g),Staple fridge,"(cheddar|tasty) cheese block|cheese block.*(cheddar|tasty)|dairy tasty cheese block","slice|shred|grated|string|soft|cream cheese|dip",(?i)dairy|fridge,true,500,g,false,
pasta_spaghetti_500,Spaghetti (~500g),Staple pantry,"\bspaghetti\b","gluten.?free|fresh|sauce|ready|meal|canned|tin",(?i)pantry,true,500,g,true,
cola_125_2l,Cola soft drink (~1.25–2L),National brand,"(coca.?cola|coke)","zero|diet|no\s*sugar|10\s*x|24\s*pack|glass|tray|melamine|snack|multipack|can",(?i)drink,false,1.25,l,true,Target ~1.25–2L single bottle
toilet_paper_multipack,Toilet paper multipack,Home staple,"toilet (paper|tissue)","wipe|flushable|bin|mat",(?i)clean|home|laundry,true,,,false,Prefer unit price (per 100 sheets / roll) when present
laundry_liquid_1_2l,Laundry liquid (~1–2L),Home staple,"laundry liquid|laundry detergent liquid|washing liquid","powder|pod|capsule|sheet|softener|scent|booster|stain|sanitiser|marker|hamper|airer|peg|basket|dryer|brush|soap bar",(?i)clean|laundry,true,1,l,true,Must be similar bottle size or unit $/L
nappies_mid,Nappies size 4–5,Baby traffic,"napp(y|ies).*(size\s*[45]|maxi)|huggies.*(size\s*[45])|pampers.*(size\s*[45])","wipe|cream|pants only training|swim",(?i)baby,false,,,false,Compare on unit price per nappy when available
dog_food_dry,Dry dog food,Pet traffic,"dry dog food|dog food.*(dry|kibble)","treat|dental|wet|\bcan\b|pouch|puppy|hamper|laundry",(?i)pet,false,,,false,Only compare when unit $/kg available or packs similar
coffee_instant_jar,Instant coffee jar,Pantry traffic,"instant coffee","capsule|pod|nespresso|ground|bean|machine|compatible|decaf",(?i)pantry|drink,false,100,g,false,Prefer jars near 100g; else unit price
baked_beans_420,Baked beans (~420g),Staple pantry,"baked beans","snack|mini|spaghetti",(?i)pantry,false,420,g,true,
rice_long_grain_1kg,Long grain rice (1kg),Staple pantry,"(long grain|jasmine|basmati) rice","microwave|cup|ready|pudding|cracker|cake|paper",(?i)pantry,true,1,kg,true,
oil_vegetable_1l,Vegetable / canola oil (1L),Staple pantry,"(vegetable|canola) oil","olive|spray|coconut|sesame|avocado",(?i)pantry,true,1,l,true,
